,year,selling_price,km_driven,fuel,transmission,owner
1,2007,9180.0,50000,Petrol,Manual,First Owner
2,2012,40800.0,100000,Diesel,Manual,First Owner
4,2014,30600.000000000004,141000,Diesel,Manual,Second Owner
5,2007,9520.0,125000,Petrol,Manual,First Owner
6,2016,37400.0,25000,Petrol,Manual,First Owner
8,2015,57800.00000000001,25000,Petrol,Manual,First Owner
12,2018,112200.00000000001,25000,Petrol,Automatic,First Owner
14,2007,9180.0,50000,Petrol,Manual,First Owner
15,2012,40800.0,100000,Diesel,Manual,First Owner
17,2014,30600.000000000004,141000,Diesel,Manual,Second Owner
18,2007,9520.0,125000,Petrol,Manual,First Owner
19,2016,37400.0,25000,Petrol,Manual,First Owner
21,2015,57800.00000000001,25000,Petrol,Manual,First Owner
25,2018,112200.00000000001,25000,Petrol,Automatic,First Owner
26,2015,39780.0,24000,Petrol,Manual,First Owner
27,2019,81260.0,5000,Diesel,Manual,First Owner
28,2013,26520.000000000004,33000,Diesel,Manual,Second Owner
29,2014,133619.932,28000,Diesel,Automatic,First Owner
30,2013,96900.0,59000,Diesel,Automatic,First Owner
33,2018,63240.00000000001,14500,Petrol,Manual,First Owner
35,2013,117980.00000000001,50000,Diesel,Automatic,First Owner
36,2012,93500.0,33800,Diesel,Automatic,Second Owner
40,2019,95200.0,10000,Petrol,Manual,First Owner
42,2014,15639.932000000003,60000,Petrol,Manual,Third Owner & Above
43,2013,105400.00000000001,75800,Diesel,Automatic,Second Owner
45,2012,42500.0,40000,Diesel,Manual,First Owner
47,2014,38080.0,74000,Diesel,Manual,Second Owner
51,2009,10200.0,79000,Petrol,Manual,Third Owner & Above
54,2017,49300.0,18500,Diesel,Manual,First Owner
56,2018,51000.00000000001,29000,Diesel,Manual,First Owner
58,2016,45220.0,46000,Diesel,Manual,First Owner
59,2014,31620.000000000004,70000,Diesel,Manual,First Owner
62,2014,45900.0,90000,Diesel,Manual,First Owner
66,2014,35700.0,92000,Diesel,Manual,First Owner
76,2006,8840.0,110000,Petrol,Manual,Third Owner & Above
77,2017,62900.00000000001,35000,Diesel,Manual,First Owner
78,2018,51000.00000000001,60000,Diesel,Manual,First Owner
80,2010,16864.0,63000,Petrol,Manual,Second Owner
81,2014,30600.000000000004,120000,Diesel,Manual,Second Owner
83,2014,44200.0,76000,Petrol,Manual,Second Owner
86,2016,33660.0,11958,Petrol,Manual,First Owner
88,2017,69700.0,9000,Petrol,Manual,First Owner
90,2015,51000.00000000001,70000,Diesel,Manual,First Owner
91,2013,40800.0,120000,Diesel,Manual,First Owner
94,2014,99960.0,34000,Diesel,Automatic,Second Owner
98,2013,30600.000000000004,50000,Petrol,Manual,First Owner
101,2018,306000.0,9800,Petrol,Automatic,First Owner
102,2017,187000.0,13000,Diesel,Automatic,First Owner
103,2018,134300.0,21000,Diesel,Automatic,First Owner
104,2008,11900.0,29173,Petrol,Manual,First Owner
105,2012,170000.0,48000,Diesel,Automatic,First Owner
106,2017,42704.0,120000,Diesel,Manual,First Owner
109,2018,51000.00000000001,87000,Diesel,Manual,First Owner
110,2019,51000.00000000001,15000,Petrol,Manual,First Owner
112,2012,40800.0,60000,Diesel,Manual,First Owner
113,2010,6800.000000000001,60000,Petrol,Manual,Third Owner & Above
116,2016,53040.00000000001,60000,Diesel,Manual,First Owner
117,2014,29512.000000000004,79350,Diesel,Manual,Second Owner
119,2014,37740.0,90000,Diesel,Manual,Second Owner
120,2007,8160.000000000001,90000,Petrol,Manual,Second Owner
121,2014,34000.0,120000,Diesel,Manual,Second Owner
127,2012,34000.0,100000,Diesel,Manual,First Owner
128,2016,54400.00000000001,70000,Diesel,Manual,Second Owner
129,2016,57120.00000000001,70000,Diesel,Manual,Second Owner
130,2016,33320.0,50000,Petrol,Manual,First Owner
132,2012,27200.000000000004,120000,Diesel,Manual,Third Owner & Above
133,2015,68000.0,3600,Diesel,Manual,First Owner
134,2015,36040.0,14272,Petrol,Manual,First Owner
135,2017,57120.00000000001,49213,Diesel,Manual,First Owner
144,2013,19040.0,3240,Petrol,Manual,Second Owner
145,2015,36720.0,5000,Petrol,Manual,First Owner
146,2018,47600.0,10000,Petrol,Manual,First Owner
150,2018,54400.00000000001,35000,Diesel,Manual,First Owner
152,2008,14280.000000000002,53772,Petrol,Manual,First Owner
161,2014,42160.0,36000,Petrol,Manual,First Owner
162,2013,34000.0,30000,Diesel,Manual,First Owner
170,2012,11900.0,80000,Petrol,Manual,Third Owner & Above
173,2006,4760.0,110000,Petrol,Manual,Third Owner & Above
174,2019,55080.00000000001,15000,Petrol,Manual,First Owner
179,2016,40800.0,25000,Petrol,Manual,First Owner
180,2015,43520.0,23000,Petrol,Manual,First Owner
184,2009,19040.0,110000,Petrol,Manual,Second Owner
186,2019,54400.00000000001,15000,Diesel,Manual,First Owner
191,2013,102000.00000000001,35000,Diesel,Automatic,First Owner
192,2007,11900.0,78380,Petrol,Manual,First Owner
193,2012,29579.932000000004,110000,Diesel,Manual,Second Owner
196,2009,17000.0,150000,Diesel,Manual,Third Owner & Above
198,2006,9520.0,70000,Petrol,Manual,Third Owner & Above
204,2017,197200.0,40000,Diesel,Automatic,First Owner
205,2013,28900.000000000004,20000,Diesel,Manual,First Owner
207,2018,60520.00000000001,1136,Petrol,Manual,First Owner
208,2013,24820.0,55000,Petrol,Manual,First Owner
210,2016,46580.0,60000,Diesel,Manual,First Owner
211,2018,63920.00000000001,2650,Diesel,Manual,First Owner
212,2017,68000.0,40000,Diesel,Manual,First Owner
213,2019,78200.0,15000,Petrol,Manual,First Owner
215,2015,40120.0,65000,Diesel,Manual,First Owner
216,2017,54400.00000000001,40000,Diesel,Manual,First Owner
217,2012,26180.000000000004,58000,Diesel,Manual,First Owner
218,2013,136000.0,15000,Diesel,Automatic,First Owner
220,2017,43520.0,56000,Diesel,Manual,First Owner
221,2006,3536.0000000000005,120000,Petrol,Manual,Third Owner & Above
228,2017,47600.0,10000,Petrol,Manual,First Owner
229,2012,19380.0,80000,Diesel,Manual,Second Owner
232,2008,15300.000000000002,60000,Petrol,Manual,Second Owner
251,2017,42500.0,52000,Petrol,Manual,First Owner
252,2006,7480.000000000001,120000,Diesel,Manual,Third Owner & Above
253,2019,54400.00000000001,11240,Petrol,Manual,First Owner
255,2017,59840.00000000001,64000,Diesel,Manual,First Owner
257,2006,7887.932000000001,100000,Diesel,Manual,Second Owner
260,2017,46580.0,72000,Diesel,Manual,First Owner
261,2009,20400.0,50000,Petrol,Manual,First Owner
262,2017,46240.0,44000,Diesel,Manual,First Owner
263,2017,68000.0,60000,Diesel,Manual,Second Owner
267,2014,40800.0,20000,Petrol,Manual,First Owner
268,2009,12240.0,60000,Diesel,Manual,Second Owner
271,2006,8840.0,80000,Petrol,Manual,Third Owner & Above
273,2019,58480.00000000001,35000,Diesel,Manual,First Owner
274,2018,44200.0,20000,Petrol,Manual,Second Owner
277,2009,20400.0,50000,Petrol,Manual,First Owner
278,2010,18360.0,110000,Petrol,Manual,Second Owner
279,2013,37400.0,29000,Diesel,Manual,First Owner
280,2013,30600.000000000004,120000,Diesel,Manual,First Owner
281,2011,29240.000000000004,70000,Diesel,Manual,Second Owner
286,2012,26860.000000000004,49000,Petrol,Manual,Second Owner
287,2011,44200.0,70000,Diesel,Automatic,Second Owner
288,2011,23800.0,90000,Diesel,Manual,Second Owner
289,2020,95200.0,25000,Diesel,Manual,First Owner
291,2018,88400.0,10000,Diesel,Manual,First Owner
292,2015,54400.00000000001,15000,Diesel,Manual,First Owner
299,2018,42432.0,14681,Diesel,Manual,First Owner
300,2009,17000.0,50000,Petrol,Manual,First Owner
301,2016,39780.0,51000,Diesel,Manual,First Owner
302,2015,34000.0,25000,Petrol,Manual,First Owner
304,2014,33660.0,80000,Diesel,Manual,First Owner
308,2015,34000.0,10000,Petrol,Manual,First Owner
312,2009,12240.0,46730,Petrol,Manual,First Owner
314,2011,23800.0,80000,Diesel,Manual,First Owner
316,2018,61200.00000000001,24000,Diesel,Manual,First Owner
317,2017,47600.0,21170,Diesel,Manual,First Owner
319,2017,68000.0,40000,Diesel,Manual,First Owner
320,2011,93500.0,60000,Diesel,Automatic,First Owner
322,2007,10880.0,120000,Diesel,Manual,Third Owner & Above
325,2019,54400.00000000001,30000,Diesel,Manual,First Owner
326,2017,47600.0,88635,Diesel,Manual,First Owner
327,2018,54400.00000000001,25000,Diesel,Manual,First Owner
328,2017,39100.0,20000,Petrol,Manual,Second Owner
